id,animalid,address,y,x,location,date,type,breed,color,sex,age,image
97,A732374,619 W POWELL LNAUSTIN 78753,30.350455,-97.708406,Yes (come to the shelter),8/6/16,Cat,Domestic Medium Hair Mix,Black,Intact Female,4 weeks,http://www.petharbor.com/get_image.asp?RES=Detail&ID=A732374&LOCATION=ASTN
98,A732339,2915 AFTONSHIRE WAYAUSTIN 78745,30.180853,-97.837804,No (contact for more info),8/6/16,Dog,Dachshund Longhair Mix,Red,Neutered Male,5 years,http://www.petharbor.com/get_image.asp?RES=Detail&ID=A732339&LOCATION=ASTN
99,A732441,401 LITTLETEXAS AUSTIN 78745,30.200982,-97.772388,Yes (come to the shelter),8/7/16,Dog,German Shepherd Mix,Brown/Black,Unknown,4 months,http://www.petharbor.com/get_image.asp?RES=Detail&ID=A732441&LOCATION=ASTN
100,A732429,5621 N IHAUSTIN 78723,30.316632,-97.707222,Yes (come to the shelter),8/7/16,Cat,Snowshoe Mix,Seal Point/White,Intact Male,6 weeks,http://www.petharbor.com/get_image.asp?RES=Detail&ID=A732429&LOCATION=ASTN
101,A732430,5621 N IHAUSTIN 78723,30.316632,-97.707222,Yes (come to the shelter),8/7/16,Cat,Domestic Shorthair Mix,Blue Tabby/White,Intact Female,6 weeks,http://www.petharbor.com/get_image.asp?RES=Detail&ID=A732430&LOCATION=ASTN
102,A732434,8525 N CAPITAL OF TX HWYAUSTIN 78759,30.388018,-97.761743,No (contact for more info),8/7/16,Cat,Domestic Medium Hair Mix,Orange Tabby,Unknown,3 years,http://www.petharbor.com/get_image.asp?RES=Detail&ID=A732434&LOCATION=ASTN
103,A732421,2706 CHANNING CIRCLEAUSTIN 78745,30.212324,-97.814534,No (contact for more info),8/7/16,Cat,Domestic Shorthair Mix,Blue Tabby/White,Intact Male,4 months,http://www.petharbor.com/get_image.asp?RES=Detail&ID=A732421&LOCATION=ASTN
104,A732439,9002 HUNTERS TRACEAUSTIN 78758,30.365437,-97.711976,Yes (come to the shelter),8/7/16,Cat,Domestic Shorthair Mix,Black/White,Intact Female,8 weeks,http://www.petharbor.com/get_image.asp?RES=Detail&ID=A732439&LOCATION=ASTN
105,A732438,9002 HUNTERS TRACEAUSTIN 78758,30.365437,-97.711976,Yes (come to the shelter),8/7/16,Cat,Domestic Shorthair Mix,Black/White,Intact Female,8 weeks,http://www.petharbor.com/get_image.asp?RES=Detail&ID=A732438&LOCATION=ASTN
106,A732444,1800 MIAMI DR78733,30.342279,-97.866759,Yes (come to the shelter),8/8/16,Dog,Pit Bull Mix,White/Black,Unknown,2 years,http://www.petharbor.com/get_image.asp?RES=Detail&ID=A732444&LOCATION=ASTN
